0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:01 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:02 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:02 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:02 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:02 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:04 +0100] "GET /tp_revision/edit.html?id=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:04 +0100] "GET /tp_revision/exercice/revision/persons/6 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:14 +0100] "PUT /tp_revision/exercice/revision/persons/6 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:15 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:18 +0100] "GET /tp_revision/edit.html?id=7 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:18 +0100] "GET /tp_revision/exercice/revision/persons/7 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:24 +0100] "PUT /tp_revision/exercice/revision/persons/7 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:32 +0100] "PUT /tp_revision/exercice/revision/persons/7 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:33 +0100] "PUT /tp_revision/exercice/revision/persons/7 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:35 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:40 +0100] "GET /tp_revision/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:46 +0100] "GET /tp_revision/exercice/revision/persons/search?nom=ali%20hammami HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:51 +0100] "GET /tp_revision/exercice/revision/persons/7 HTTP/1.1" 200 77
